"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"10868099999","1942-01-01","48.244","11.553","489.0","MUENCHEN OBERSCHLEI, GM","  31.8"," 8","  31.0"," 8","1031.5"," 8","999.9"," 0","  1.1"," 8"," 10.0"," 8"," 13.0","999.9","  34.0"," ","  30.0"," "," 0.12","F","999.9","001000"
"10868099999","1942-01-02","48.244","11.553","489.0","MUENCHEN OBERSCHLEI, GM","  32.5"," 8","  29.5"," 8","1034.8"," 8","999.9"," 0","  2.6"," 8","  2.5"," 8","  8.9","999.9","  34.0"," ","  32.0"," "," 0.01","E","999.9","001000"
"10868099999","1942-01-03","48.244","11.553","489.0","MUENCHEN OBERSCHLEI, GM","  29.5"," 8","  27.5"," 8","1033.1"," 8","999.9"," 0","  1.4"," 8","  1.8"," 8","  5.1","999.9","  34.0"," ","  19.0","*"," 0.00","I","999.9","100000"
"10868099999","1942-01-04","48.244","11.553","489.0","MUENCHEN OBERSCHLEI, GM","  23.1"," 8","  21.9"," 8","1023.8"," 8","999.9"," 0","  0.7"," 8","  0.5"," 8","  1.9","999.9","  30.0"," ","  18.0"," "," 0.00","I","999.9","100000"
"10868099999","1942-01-05","48.244","11.553","489.0","MUENCHEN OBERSCHLEI, GM","  34.4"," 7","  29.0"," 7","1015.2"," 7","999.9"," 0","  3.0"," 7","  4.7"," 7","  8.9","999.9","  41.0"," ","  25.0"," "," 0.02","E","999.9","010000"
"10868099999","1942-01-06","48.244","11.553","489.0","MUENCHEN OBERSCHLEI, GM","  32.7"," 7","  31.0"," 7","1012.1"," 7","999.9"," 0","  1.3"," 7","  1.1"," 7","  1.9","999.9","  34.0","*","  27.0","*"," 0.28","E","999.9","011000"
"10868099999","1942-01-07","48.244","11.553","489.0","MUENCHEN OBERSCHLEI, GM","  23.7"," 8","  21.4"," 8","1020.5"," 8","999.9"," 0","  3.4"," 8","  4.5"," 8"," 13.0","999.9","  28.0"," ","  21.0","*"," 0.16","F","999.9","001000"
"10868099999","1942-01-08","48.244","11.553","489.0","MUENCHEN OBERSCHLEI, GM","  17.3"," 7","  14.0"," 7","1019.1"," 7","999.9"," 0","  3.4"," 7","  0.6"," 7","  1.9","999.9","  21.0","*","  12.0","*"," 0.00","I","999.9","000000"
"10868099999","1942-01-09","48.244","11.553","489.0","MUENCHEN OBERSCHLEI, GM","  10.0"," 7","   7.7"," 7","1015.2"," 7","999.9"," 0","  1.0"," 7","  2.7"," 7","  8.9","999.9","  16.0","*","  -4.0","*"," 0.00","I","999.9","100000"
"10868099999","1942-01-10","48.244","11.553","489.0","MUENCHEN OBERSCHLEI, GM","   5.6"," 8","   3.1"," 8","1016.9"," 8","999.9"," 0","  0.4"," 8","  0.7"," 8","  1.9","999.9","  12.0","*","  -6.0"," ","99.99"," ","999.9","101000"
"10868099999","1942-01-11","48.244","11.553","489.0","MUENCHEN OBERSCHLEI, GM","  13.6"," 8","  11.0"," 8","1017.5"," 8","999.9"," 0","  1.6"," 8","  2.0"," 8","  5.1","999.9","  18.0","*","   7.0","*"," 0.06","F","999.9","011000"
"10868099999","1942-01-12","48.244","11.553","489.0","MUENCHEN OBERSCHLEI, GM","  10.6"," 8","   7.4"," 8","1020.1"," 8","999.9"," 0","  1.7"," 8","  1.2"," 8","  1.9","999.9","  16.0"," ","   5.0"," "," 0.04","F","999.9","001000"
